Duration,Pulse,Maxpulse,Calories
60,110,130,409.1
60,117,145,479.0
60,103,135,340.0
45,109,175,282.4
45,117,148,406.0
60,102,127,300.5
60,110,136,374.0
45,104,134,253.3
30,109,133,195.1
60,98,124,269.0
60,103,147,329.3
60,100,120,250.7
60,106,128,345.3
60,104,132,379.3
60,98,123,275.0
60,98,120,215.2
60,100,120,300.0
45,90,112,
60,103,123,323.0
45,97,125,243.0
30,100,122,300.0
45,105,128,246.2
45,102,126,334.5
60,110,136,250.0
30,108,118,241.0
30,110,122,230.1
45,104,129,282.0
30,98,120,209.2
60,109,138,341.0
60,105,125,
45,109,133,321.0
60,111,138,272.0
30,106,130,255.0
45,108,120,269.0
60,97,127,275.0
45,100,120,250.3
60,105,128,328.0
45,103,132,230.4
60,102,129,310.0
60,106,136,361.5
45,101,123,281.0
30,110,125,234.0
60,103,124,300.0
45,107,130,282.2
60,108,131,304.2
30,100,120,195.5
45,111,128,256.9
60,98,122,
45,105,131,279.0
30,102,126,211.7
60,107,136,300.0
